phases,sfcode,numfr,numint,weight
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
PI1,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
PI2,MON,0,1,0
CN1,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
CN2,MON,0,1,0
PT,MON,0,1,0
PT,MON,0,1,0
PT,MON,0,1,0
PT,MON,0,1,0
PT,MON,0,1,0
